split,source_label,label,tfidf_similarity,keyword_overlap_ratio,education_level_score,experience_gap,sbert_score
train,No Fit,0,0.0748,0.2,0,6.0,0.37761825
train,No Fit,0,0.0251,0.05,0,14.0,0.46290258
train,No Fit,0,0.0342,0.4,0,10.0,0.40044582
train,No Fit,0,0.063,0.2,0,12.0,0.21971002
train,No Fit,0,0.0564,0.2,0,5.0,0.21640064
train,No Fit,0,0.0,0.0,0,9.0,0.25679445
train,No Fit,0,0.0361,0.25,0,0.0,0.2684728
train,No Fit,0,0.0655,0.15,0,14.0,0.31715605
train,No Fit,0,0.0179,0.05,-2,-6.0,0.21786551
train,No Fit,0,0.0919,0.5,0,2.0,0.4927809
train,No Fit,0,0.0341,0.15,0,5.0,0.38386872
train,No Fit,0,0.0333,0.2,1,11.0,0.21565886
train,No Fit,0,0.0193,0.1429,0,11.0,0.20835793
train,No Fit,0,0.0403,0.15,0,0.0,0.3596292
train,No Fit,0,0.0869,0.15,1,5.0,0.47880295
train,No Fit,0,0.0536,0.25,0,35.0,0.26587516
train,No Fit,0,0.0747,0.15,0,5.0,0.47316182
train,No Fit,0,0.1144,0.35,0,-3.0,0.29231745
train,No Fit,0,0.0381,0.0,0,7.0,0.2285174
train,No Fit,0,0.086,0.45,0,8.0,0.41760093
train,No Fit,0,0.0619,0.15,0,9.0,0.45916536
train,No Fit,0,0.0664,0.15,0,9.0,0.1825728
train,No Fit,0,0.0582,0.25,0,0.0,0.33224836
train,No Fit,0,0.0289,0.1176,-1,15.0,0.346839
train,No Fit,0,0.0732,0.2,0,16.0,0.39267334
train,No Fit,0,0.0673,0.35,0,6.0,0.22649682
train,No Fit,0,0.0551,0.15,1,-1.0,0.42019594
train,No Fit,0,0.1614,0.55,2,10.0,0.49763036
train,No Fit,0,0.0433,0.15,1,28.0,0.41427496
train,No Fit,0,0.0384,0.4,-1,0.0,0.4506041
train,No Fit,0,0.054,0.4,0,1.0,0.38470733
train,No Fit,0,0.0505,0.15,0,9.0,0.2389414
train,No Fit,0,0.1492,0.375,1,12.0,0.41481343
train,No Fit,0,0.0503,0.2,0,-3.0,0.12966035
train,No Fit,0,0.0492,0.2,0,13.0,0.38337448
train,No Fit,0,0.0244,0.15,-1,0.0,0.5443326
train,No Fit,0,0.1492,0.4,-1,21.0,0.47866988
